NN Archi.,#Br.,LR,Batch,#Layers,#Neurons,#Epochs,#EpochsRan,AUC,Sigif.,File
"[10, 10, 1]",130,0.0001,512,3,21,150,8,0.950716,0.474,2020_09_19_rocDataNN_22.31.14.csv
"[10, 10, 1]",130,0.0001,512,3,21,150,10,0.948776,0.472,2020_09_19_rocDataNN_22.35.51.csv
"[10, 10, 1]",130,0.0001,512,3,21,150,53,0.973779,0.824,2020_09_19_rocDataNN_22.53.40.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,35,0.969793,0.742,2020_09_19_rocDataNN_23.06.58.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,50,0.973812,0.873,2020_09_19_rocDataNN_23.30.21.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,38,0.967201,0.813,2020_09_19_rocDataNN_23.58.24.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,62,0.973982,0.898,2020_09_20_rocDataNN_00.15.00.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,30,0.963441,0.651,2020_09_20_rocDataNN_00.25.35.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,49,0.935117,0.843,2020_09_20_rocDataNN_17.38.28.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,150,0.938216,0.970,2020_09_20_rocDataNN_18.05.25.csv
"[10, 10, 1]",75,0.0001,512,3,21,150,150,0.949287,1.171,2020_09_20_rocDataNN_18.38.01.csv
